Case Number,Day of the Week,Time of the Day,Nature of the Call
B16-35288,Sunday,DAY,TRAFFIC STOP
B16-35289,Sunday,DAY,ANIMAL
B16-35287,Sunday,DAY,ACCIDENT PD IP
B16-35286,Sunday,DAY,DISTURBANCE IP
B16-35285,Sunday,DAY,ALARM
B16-35284,Sunday,DAY,PROPERTY
B16-35283,Sunday,DAY,ACCIDENT PD IP
B16-35282,Sunday,DAY,DISTURBANCE IP
B16-35281,Sunday,DAY,WELFARE CHK IP
B16-35280,Sunday,MORNING,ALARM
B16-35290,Sunday,MORNING,THEFT NP
B16-35279,Sunday,MORNING,DOMESTIC IP
B16-35278,Sunday,MORNING,ATL
B16-35277,Sunday,MORNING,ATL
B16-35275,Sunday,MORNING,VEH THEFT NP
B16-35276,Sunday,MORNING,VEH THEFT NP
B16-35274,Sunday,MORNING,ALARM
B16-35273,Sunday,MORNING,TRESPASS IP
B16-35271,Sunday,MORNING,TRAFFIC STOP
B16-35272,Sunday,MORNING,TRESPASS IP
B16-35270,Sunday,MORNING,ALARM
B16-35269,Sunday,MORNING,ALARM
B16-35268,Sunday,MORNING,ALARM
B16-35267,Sunday,MORNING,SUSP ACT IP
B16-35266,Sunday,MORNING,TRESPASS IP
B16-35265,Sunday,MORNING,NOISE
B16-35263,Sunday,NIGHT,DRUNK
B16-35264,Sunday,NIGHT,WELFARE CHK IP
B16-35262,Sunday,NIGHT,MISSING PERSON
B16-35261,Sunday,NIGHT,NOISE
B16-35260,Sunday,NIGHT,NOISE
B16-35259,Sunday,NIGHT,NOISE
B16-35257,Sunday,NIGHT,DISTURBANCE IP
B16-35256,Sunday,NIGHT,TRAFFIC STOP
B16-35255,Sunday,NIGHT,TRAFFIC STOP
B16-35258,Sunday,NIGHT,NOISE
B16-35254,Sunday,NIGHT,TRAFFIC STOP
B16-35252,Sunday,NIGHT,DRUNK
B16-35253,Sunday,NIGHT,DOMESTIC IP
B16-35251,Sunday,NIGHT,VANDALISM NP
B16-35248,Sunday,NIGHT,SUSP ACT IP
B16-35246,Sunday,NIGHT,ATL
B16-35250,Sunday,NIGHT,NOISE
B16-35245,Sunday,NIGHT,SUSP ACT IP
B16-35244,Sunday,NIGHT,TRAFFIC STOP
B16-35243,Sunday,NIGHT,DRUNK
B16-35242,Sunday,NIGHT,DRUNK
B16-35249,Sunday,NIGHT,NOISE
B16-35247,Sunday,NIGHT,NOISE
B16-35241,Sunday,NIGHT,DRUGS IP
B16-35240,Sunday,NIGHT,DOMESTIC IP
B16-35239,Sunday,NIGHT,THEFT NP
B16-35237,Sunday,NIGHT,TRAFFIC STOP
B16-35238,Sunday,NIGHT,TRAFFIC STOP
B16-35233,Sunday,NIGHT,DISTURBANCE IP
B16-35232,Sunday,NIGHT,TRAFFIC HAZARD
B16-35236,Sunday,NIGHT,NOISE
B16-35235,Sunday,NIGHT,NOISE
B16-35234,Sunday,NIGHT,NOISE
B16-35231,Sunday,NIGHT,SUSP ACT IP
B16-35228,Saturday,NIGHT,MISSING PERSON
B16-35227,Saturday,NIGHT,VANDALISM IP
B16-35230,Saturday,NIGHT,NOISE
B16-35226,Saturday,NIGHT,DISTURBANCE IP
B16-35229,Saturday,NIGHT,NOISE
B16-35225,Saturday,NIGHT,NOISE
B16-35224,Saturday,NIGHT,NOISE
B16-35222,Saturday,NIGHT,TRAFFIC STOP
B16-35223,Saturday,NIGHT,NOISE
B16-35221,Saturday,NIGHT,WEAPONS IP
B16-35219,Saturday,NIGHT,DISTURBANCE IP
B16-35217,Saturday,NIGHT,WELFARE CHK IP
B16-35216,Saturday,NIGHT,ALARM
B16-35218,Saturday,NIGHT,WELFARE CHK IP
B16-35215,Saturday,NIGHT,THEFT IP
B16-35214,Saturday,NIGHT,PROPERTY
B16-35213,Saturday,NIGHT,TRAFFIC STOP
B16-35212,Saturday,NIGHT,DOMESTIC IP
B16-35210,Saturday,NIGHT,FOLLOW UP
B16-35211,Saturday,NIGHT,DOMESTIC IP
B16-35220,Saturday,NIGHT,NOISE
B16-35209,Saturday,NIGHT,TRAFFIC STOP
B16-35208,Saturday,NIGHT,ALARM
B16-35207,Saturday,NIGHT,THEFT NP
B16-35206,Saturday,NIGHT,CIVIL IP
B16-35204,Saturday,NIGHT,WELFARE CHK IP
B16-35205,Saturday,NIGHT,ATL
B16-35203,Saturday,NIGHT,DOMESTIC IP
B16-35202,Saturday,NIGHT,SERVICE IP
B16-35201,Saturday,NIGHT,ATL
B16-35200,Saturday,NIGHT,WELFARE CHK IP
B16-35199,Saturday,NIGHT,DISTURBANCE IP
B16-35198,Saturday,NIGHT,TRAFFIC HAZARD
B16-35196,Saturday,NIGHT,PROPERTY
B16-35197,Saturday,NIGHT,FRAUD
B16-35195,Saturday,NIGHT,ACCIDENT PD IP
B16-35194,Saturday,NIGHT,ALARM
B16-35193,Saturday,DAY,TRAFFIC STOP
B16-35191,Saturday,DAY,PROPERTY
B16-35190,Saturday,DAY,WELFARE CHK IP
B16-35189,Saturday,DAY,PANHANDLING
B16-35187,Saturday,DAY,VANDALISM IP
B16-35188,Saturday,DAY,WELFARE CHK IP
B16-35186,Saturday,DAY,TRESPASS IP
B16-35185,Saturday,DAY,WELFARE CHK IP
B16-35184,Saturday,DAY,SUSP ACT IP
B16-35183,Saturday,DAY,SERVICE IP
B16-35182,Saturday,DAY,FOLLOW UP
B16-35180,Saturday,DAY,SUSP ACT IP
B16-35179,Saturday,DAY,VANDALISM NP
B16-35181,Saturday,DAY,PROPERTY
B16-35178,Saturday,DAY,PROPERTY
B16-35177,Saturday,DAY,CIVIL NP
B16-35192,Saturday,DAY,FOLLOW UP
B16-35176,Saturday,DAY,FOLLOW UP
B16-35175,Saturday,DAY,ANIMAL
B16-35174,Saturday,DAY,MOTORIST ASSIST
B16-35173,Saturday,DAY,PANHANDLING
B16-35172,Saturday,DAY,WELFARE CHK IP
B16-35171,Saturday,DAY,MOTORIST ASSIST
B16-35170,Saturday,DAY,TRAFFIC STOP
B16-35169,Saturday,DAY,SUSP ACT IP
B16-35168,Saturday,DAY,TRAFFIC STOP
B16-35167,Saturday,DAY,ANIMAL
B16-35166,Saturday,DAY,HARASSMENT IP
B16-35165,Saturday,DAY,ACCIDENT PD IP
B16-35164,Saturday,DAY,SUSP ACT IP
B16-35163,Saturday,DAY,SUSP ACT IP
B16-35162,Saturday,DAY,THEFT NP
B16-35161,Saturday,DAY,TRAFFIC STOP
B16-35159,Saturday,DAY,ACCIDENT PD IP
B16-35160,Saturday,DAY,DISTURBANCE IP
B16-35158,Saturday,DAY,WELFARE CHK IP
B16-35157,Saturday,DAY,ACCIDENT LSA IP
B16-35156,Saturday,DAY,ALARM
B16-35155,Saturday,DAY,ACCIDENT PI
B16-35154,Saturday,DAY,TRAFFIC STOP
B16-35153,Saturday,DAY,HARASSMENT NP
B16-35152,Saturday,DAY,TRAFFIC STOP
B16-35150,Saturday,DAY,EXTRA PATROL
B16-35149,Saturday,DAY,PROPERTY
B16-35148,Saturday,DAY,EXTRA PATROL
B16-35147,Saturday,DAY,DRUGS IP
B16-35146,Saturday,DAY,SEX OFFENSE NP
B16-35151,Saturday,DAY,PARKING
B16-35145,Saturday,DAY,TRAFFIC HAZARD
B16-35144,Saturday,DAY,TRAFFIC STOP
B16-35143,Saturday,DAY,SUSP ACT NP
B16-35139,Saturday,DAY,DISTURBANCE IP
B16-35142,Saturday,DAY,PROPERTY
B16-35138,Saturday,DAY,DISTURBANCE IP
B16-35141,Saturday,MORNING,VEH THEFT NP
B16-35136,Saturday,MORNING,DISTURBANCE IP
B16-35137,Saturday,MORNING,VEH THEFT NP
B16-35135,Saturday,MORNING,ALARM
B16-35140,Saturday,MORNING,BURGLARY NP
B16-35134,Saturday,MORNING,FOLLOW UP
B16-35133,Saturday,MORNING,ACCIDENT PD IP
B16-35132,Saturday,MORNING,ACCIDENT PD IP
B16-35131,Saturday,MORNING,JUVENILE
B16-35130,Saturday,MORNING,SERVICE IP
B16-35129,Saturday,MORNING,VANDALISM NP
B16-35128,Saturday,MORNING,DRUNK
B16-35126,Saturday,MORNING,ASSIGNED DETAIL
B16-35127,Saturday,MORNING,PROPERTY
B16-35125,Saturday,MORNING,VANDALISM NP
B16-35123,Saturday,MORNING,THEFT NP
B16-35122,Saturday,MORNING,WELFARE CHK IP
B16-35124,Saturday,MORNING,SEX ASSAULT NP
B16-35121,Saturday,MORNING,SUSP ACT IP
B16-35120,Saturday,MORNING,BURGLARY NP
B16-35119,Saturday,MORNING,PROPERTY
B16-35118,Saturday,MORNING,SERVICE IP
B16-35117,Saturday,MORNING,PANHANDLING
B16-35115,Saturday,MORNING,MISSING PERSON
B16-35114,Saturday,MORNING,SUSP ACT IP
B16-35116,Saturday,MORNING,VEH THEFT NP
B16-35113,Saturday,MORNING,DRUNK
B16-35112,Saturday,MORNING,ACCIDENT PI
B16-35111,Saturday,MORNING,MOTORIST ASSIST
B16-35110,Saturday,MORNING,WELFARE CHK IP
B16-35109,Saturday,MORNING,DRUNK
B16-35108,Saturday,NIGHT,ACCIDENT PD IP
B16-35107,Saturday,NIGHT,SUSP ACT IP
B16-35106,Saturday,NIGHT,WELFARE CHK IP
B16-35105,Saturday,NIGHT,ALARM
B16-35104,Saturday,NIGHT,ALARM
B16-35103,Saturday,NIGHT,DRUNK
B16-35102,Saturday,NIGHT,ASSAULT NP
B16-35101,Saturday,NIGHT,DOMESTIC IP
B16-35100,Saturday,NIGHT,ALARM
B16-35099,Saturday,NIGHT,THEFT NP
B16-35098,Saturday,NIGHT,PROPERTY
B16-35097,Saturday,NIGHT,DOMESTIC IP
B16-35096,Saturday,NIGHT,DOMESTIC IP
B16-35095,Saturday,NIGHT,DISTURBANCE IP
B16-35094,Saturday,NIGHT,FIGHT IP
B16-35093,Saturday,NIGHT,DOMESTIC IP
B16-35092,Saturday,NIGHT,DISTURBANCE IP
B16-35091,Saturday,NIGHT,SERVICE IP
B16-35089,Saturday,NIGHT,SERVICE IP
B16-35087,Saturday,NIGHT,DOMESTIC IP
B16-35086,Saturday,NIGHT,DRUNK
B16-35090,Saturday,NIGHT,NOISE
B16-35084,Saturday,NIGHT,DOMESTIC IP
B16-35083,Saturday,NIGHT,WELFARE CHK IP
B16-35082,Saturday,NIGHT,DISTURBANCE IP
B16-35081,Saturday,NIGHT,DOMESTIC IP
B16-35080,Saturday,NIGHT,DRUNK
B16-35079,Saturday,NIGHT,DRUNK
B16-35078,Saturday,NIGHT,MOTORIST ASSIST
B16-35077,Saturday,NIGHT,TRAFFIC STOP
B16-35076,Saturday,NIGHT,SERVICE IP
B16-35074,Saturday,NIGHT,NOISE
B16-35073,Saturday,NIGHT,TRESPASS IP
B16-35071,Saturday,NIGHT,TRAFFIC STOP
B16-35072,Saturday,NIGHT,ALARM
B16-35070,Saturday,NIGHT,TRAFFIC STOP
B16-35069,Saturday,NIGHT,WEAPONS IP
B16-35088,Saturday,NIGHT,NOISE
B16-35068,Saturday,NIGHT,SUSP ACT IP
B16-35066,Saturday,NIGHT,DRUNK
B16-35065,Saturday,NIGHT,DRUNK
B16-35064,Saturday,NIGHT,TRAFFIC STOP
B16-35063,Saturday,NIGHT,DRUNK
B16-35061,Saturday,NIGHT,NOISE
B16-35062,Saturday,NIGHT,DISTURBANCE IP
B16-35067,Saturday,NIGHT,DRUGS IP
B16-35060,Saturday,NIGHT,SERVICE IP
B16-35059,Saturday,NIGHT,FRAUD
B16-35058,Saturday,NIGHT,TRESPASS IP
B16-35085,Saturday,NIGHT,NOISE
B16-35057,Friday,NIGHT,PARKING
B16-35075,Friday,NIGHT,NOISE
B16-35055,Friday,NIGHT,DOMESTIC IP
B16-35054,Friday,NIGHT,ATL
B16-35053,Friday,NIGHT,TRAFFIC STOP
B16-35052,Friday,NIGHT,VANDALISM NP
B16-35050,Friday,NIGHT,PARKING
B16-35051,Friday,NIGHT,SUSP ACT IP
B16-35049,Friday,NIGHT,MISSING PERSON
B16-35048,Friday,NIGHT,SUSP ACT IP
B16-35046,Friday,NIGHT,DISTURBANCE IP
B16-35045,Friday,NIGHT,EXTRA PATROL
B16-35056,Friday,NIGHT,NOISE
B16-35044,Friday,NIGHT,TRAFFIC STOP
B16-35047,Friday,NIGHT,DRUGS IP
B16-35043,Friday,NIGHT,TRAFFIC STOP
B16-35040,Friday,NIGHT,FOLLOW UP
B16-35038,Friday,NIGHT,ASSIGNED DETAIL
B16-35039,Friday,NIGHT,FOLLOW UP
B16-35036,Friday,NIGHT,WELFARE CHK IP
B16-35035,Friday,NIGHT,HARASSMENT NP
B16-35042,Friday,NIGHT,FRAUD
B16-35032,Friday,NIGHT,WEAPONS IP
B16-35030,Friday,NIGHT,ALARM
B16-35029,Friday,NIGHT,ASSIGNED DETAIL
B16-35028,Friday,NIGHT,SUSP ACT IP
B16-35027,Friday,NIGHT,DUI
B16-35034,Friday,NIGHT,ATL
B16-35026,Friday,NIGHT,WELFARE CHK IP
B16-35031,Friday,NIGHT,ACCIDENT PD IP
B16-35033,Friday,NIGHT,RUNAWAY
B16-35041,Friday,NIGHT,NOISE
B16-35023,Friday,NIGHT,SUSP ACT IP
B16-35024,Friday,NIGHT,SEX ASSAULT NP
B16-35021,Friday,DAY,FOLLOW UP
B16-35019,Friday,DAY,WELFARE CHK IP
B16-35020,Friday,DAY,HARASSMENT IP
B16-35018,Friday,DAY,ACCIDENT PI
B16-35025,Friday,DAY,WARRANT SERVICE
B16-35037,Friday,DAY,FOLLOW UP
B16-35015,Friday,DAY,ATL
B16-35017,Friday,DAY,MOTORIST ASSIST
B16-35022,Friday,DAY,FORGERY
B16-35014,Friday,DAY,PROPERTY
B16-35012,Friday,DAY,DRUNK
B16-35016,Friday,DAY,THEFT NP
B16-35009,Friday,DAY,PROPERTY
B16-35013,Friday,DAY,ACCIDENT PI
B16-35010,Friday,DAY,SERVICE IP
B16-35007,Friday,DAY,DRUGS IP
B16-35008,Friday,DAY,CIVIL NP
B16-35011,Friday,DAY,NOISE
B16-35005,Friday,DAY,VANDALISM NP
B16-35006,Friday,DAY,VEH THEFT NP
B16-35004,Friday,DAY,PARKING
B16-35002,Friday,DAY,TRAFFIC HAZARD
B16-35001,Friday,DAY,ACCIDENT PI
B16-35000,Friday,DAY,ACCIDENT PD IP
B16-34998,Friday,DAY,SEX OFFENSE NP
B16-34999,Friday,DAY,SUSP ACT IP
B16-35003,Friday,DAY,ACCIDENT LSA NP
B16-34997,Friday,DAY,EXTRA PATROL
B16-34996,Friday,DAY,ATL
B16-34992,Friday,DAY,ACCIDENT PI
B16-34993,Friday,DAY,SUSP ACT IP
B16-34994,Friday,DAY,ACCIDENT LSA NP
B16-34991,Friday,DAY,DISTURBANCE IP
B16-34995,Friday,DAY,ASSAULT NP
B16-34988,Friday,DAY,ACCIDENT PD IP
B16-34987,Friday,DAY,ASSIGNED DETAIL
B16-34989,Friday,DAY,SERVICE IP
B16-34990,Friday,DAY,PANHANDLING
B16-34986,Friday,DAY,SUSP ACT IP
B16-34984,Friday,DAY,TRESPASS IP
B16-34985,Friday,DAY,ACCIDENT PD IP
B16-34983,Friday,DAY,ABUSE IP
B16-34982,Friday,DAY,ATL
B16-34981,Friday,DAY,WELFARE CHK IP
B16-34980,Friday,DAY,PROPERTY
B16-34977,Friday,DAY,DOMESTIC IP
B16-34978,Friday,DAY,ANIMAL
B16-34975,Friday,DAY,SUSP ACT IP
B16-34974,Friday,DAY,ACCIDENT PD IP
B16-34976,Friday,DAY,EXTRA PATROL
B16-34973,Friday,DAY,ATL
B16-34972,Friday,DAY,TRAFFIC HAZARD
B16-34970,Friday,DAY,TRAFFIC STOP
B16-34969,Friday,DAY,NOISE
B16-34979,Friday,DAY,ACCIDENT PI
B16-34967,Friday,DAY,SUSP ACT IP
B16-34968,Friday,DAY,NOISE
B16-34966,Friday,DAY,FOLLOW UP
B16-34965,Friday,DAY,ALARM
B16-34964,Friday,DAY,ACCIDENT PD IP
B16-34961,Friday,DAY,WARRANT SERVICE
B16-34962,Friday,DAY,ACCIDENT LSA IP
B16-34960,Friday,DAY,NOISE
B16-34959,Friday,DAY,EXTRA PATROL
B16-34956,Friday,DAY,FOLLOW UP
B16-34955,Friday,DAY,ROV NP
B16-34957,Friday,DAY,WELFARE CHK IP
B16-34963,Friday,DAY,SERVICE IP
B16-34958,Friday,DAY,HARASSMENT NP
B16-34971,Friday,DAY,WARRANT SERVICE
B16-34953,Friday,DAY,PANHANDLING
B16-34952,Friday,DAY,ASSIGNED DETAIL
B16-34954,Friday,DAY,TRAFFIC HAZARD
B16-34951,Friday,DAY,MENTAL HEALTH
B16-34949,Friday,DAY,DRUGS NP
B16-34950,Friday,DAY,VEH THEFT IP
B16-34948,Friday,DAY,DRUNK
B16-34947,Friday,DAY,VANDALISM NP
B16-34946,Friday,DAY,MOTORIST ASSIST
B16-34943,Friday,MORNING,ALARM
B16-34944,Friday,MORNING,THEFT NP
B16-34945,Friday,MORNING,CIVIL NP
B16-34942,Friday,MORNING,ATL
B16-34941,Friday,MORNING,ATL
B16-34938,Friday,MORNING,ASSIGNED DETAIL
B16-34939,Friday,MORNING,HARASSMENT NP
B16-34937,Friday,MORNING,ACCIDENT PD IP
B16-34940,Friday,MORNING,FRAUD
B16-34936,Friday,MORNING,WELFARE CHK IP
B16-34935,Friday,MORNING,WARRANT SERVICE
B16-34933,Friday,MORNING,ALARM
B16-34931,Friday,MORNING,EXTRA PATROL
B16-34932,Friday,MORNING,ALARM
B16-34934,Friday,MORNING,TOW IN
B16-34930,Friday,MORNING,TRESPASS IP
B16-34929,Friday,MORNING,SERVICE IP
B16-34928,Friday,MORNING,ALARM
B16-34927,Friday,MORNING,THEFT NP
B16-34926,Friday,MORNING,NOISE
B16-34925,Friday,MORNING,DRUGS NP
B16-34924,Friday,MORNING,THEFT NP
B16-34922,Friday,MORNING,MOTORIST ASSIST
B16-34923,Friday,MORNING,SUSP ACT IP
B16-34921,Friday,MORNING,SERVICE IP
B16-34920,Friday,MORNING,SUSP ACT IP
B16-34919,Friday,MORNING,TRESPASS IP
B16-34918,Friday,MORNING,FOLLOW UP
B16-34917,Friday,MORNING,TRESPASS IP
B16-34916,Friday,MORNING,DRUNK
B16-34915,Friday,NIGHT,ALARM
B16-34914,Friday,NIGHT,SUSP ACT IP
B16-34913,Friday,NIGHT,ASSIGNED DETAIL
B16-34912,Friday,NIGHT,TRAFFIC STOP
B16-34911,Friday,NIGHT,SUSP ACT IP
B16-34910,Friday,NIGHT,TRAFFIC STOP
B16-34909,Friday,NIGHT,SUSP ACT IP
B16-34908,Friday,NIGHT,SUSP ACT IP
B16-34907,Friday,NIGHT,SUSP ACT IP
B16-34906,Friday,NIGHT,DRUNK
B16-34905,Friday,NIGHT,DRUNK
B16-34904,Friday,NIGHT,DRUNK
B16-34903,Friday,NIGHT,DISTURBANCE IP
B16-34902,Friday,NIGHT,TRAFFIC STOP
B16-34901,Friday,NIGHT,TRAFFIC STOP
B16-34900,Friday,NIGHT,SUSP ACT IP
B16-34899,Friday,NIGHT,NOISE
B16-34897,Friday,NIGHT,DISTURBANCE IP
B16-34898,Friday,NIGHT,NOISE
B16-34890,Friday,NIGHT,INDECENT EXP
B16-34892,Friday,NIGHT,NOISE
B16-34891,Friday,NIGHT,NOISE
B16-34887,Friday,NIGHT,TRAFFIC STOP
B16-34888,Friday,NIGHT,DRUNK
B16-34886,Friday,NIGHT,PROPERTY
B16-34885,Thursday,NIGHT,ASSAULT IP
B16-34884,Thursday,NIGHT,NOISE
B16-34883,Thursday,NIGHT,FOLLOW UP
B16-34889,Thursday,NIGHT,NOISE
B16-34894,Thursday,NIGHT,NOISE
B16-34895,Thursday,NIGHT,NOISE
B16-34881,Thursday,NIGHT,NOISE
B16-34893,Thursday,NIGHT,NOISE
B16-34880,Thursday,NIGHT,SERVICE IP
B16-34879,Thursday,NIGHT,DISTURBANCE IP
B16-34896,Thursday,NIGHT,NOISE
B16-34878,Thursday,NIGHT,FOLLOW UP
B16-34882,Thursday,NIGHT,NOISE
B16-34876,Thursday,NIGHT,ALARM
B16-34875,Thursday,NIGHT,HARASSMENT IP
B16-34873,Thursday,NIGHT,SUSP ACT IP
B16-34877,Thursday,NIGHT,NOISE
B16-34874,Thursday,NIGHT,NOISE
B16-34871,Thursday,NIGHT,TRAFFIC STOP
B16-34872,Thursday,NIGHT,FOLLOW UP
B16-34870,Thursday,NIGHT,TRAFFIC STOP
B16-34869,Thursday,NIGHT,MISSING PERSON
B16-34868,Thursday,NIGHT,ACCIDENT PI
B16-34867,Thursday,NIGHT,PARKING
B16-34866,Thursday,NIGHT,ASSAULT NP
B16-34865,Thursday,NIGHT,DISTURBANCE IP
B16-34864,Thursday,NIGHT,TRESPASS IP
B16-34862,Thursday,NIGHT,TRAFFIC STOP
B16-34863,Thursday,NIGHT,SUSP ACT IP
B16-34861,Thursday,NIGHT,FIGHT IP
B16-34860,Thursday,NIGHT,BURGLARY IP
B16-34859,Thursday,NIGHT,DISTURBANCE IP
B16-34858,Thursday,NIGHT,TRAFFIC STOP
B16-34857,Thursday,NIGHT,DOMESTIC IP
B16-34856,Thursday,NIGHT,THEFT NP
B16-34855,Thursday,NIGHT,THEFT NP
B16-34854,Thursday,NIGHT,TRAFFIC STOP
B16-34853,Thursday,NIGHT,ASSAULT IP
B16-34852,Thursday,NIGHT,THEFT NP
B16-34851,Thursday,NIGHT,TRAFFIC STOP
B16-34850,Thursday,NIGHT,MOTORIST ASSIST
B16-34849,Thursday,DAY,WELFARE CHK IP
B16-34848,Thursday,DAY,BURGLARY NP
B16-34846,Thursday,DAY,FIGHT IP
B16-34847,Thursday,DAY,TRESPASS IP
B16-34845,Thursday,DAY,DRUGS NP
B16-34844,Thursday,DAY,FOLLOW UP
B16-34843,Thursday,DAY,TRESPASS IP
B16-34842,Thursday,DAY,THEFT NP
B16-34840,Thursday,DAY,FIGHT IP
B16-34841,Thursday,DAY,ATL
B16-34839,Thursday,DAY,TRAFFIC HAZARD
B16-34838,Thursday,DAY,SUSP ACT NP
B16-34837,Thursday,DAY,PARKING
B16-34835,Thursday,DAY,MOTORIST ASSIST
B16-34834,Thursday,DAY,ACCIDENT PD IP
B16-34832,Thursday,DAY,DISTURBANCE IP
B16-34833,Thursday,DAY,SUSP ACT IP
B16-34831,Thursday,DAY,DISTURBANCE IP
B16-34836,Thursday,DAY,THEFT NP
B16-34830,Thursday,DAY,SERVICE IP
B16-34829,Thursday,DAY,THEFT NP
B16-34828,Thursday,DAY,SUSP ACT IP
B16-34826,Thursday,DAY,FOLLOW UP
B16-34825,Thursday,DAY,ATL
B16-34827,Thursday,DAY,SERVICE IP
B16-34823,Thursday,DAY,DOMESTIC IP
B16-34822,Thursday,DAY,WELFARE CHK IP
B16-34821,Thursday,DAY,SUSP ACT IP
B16-34818,Thursday,DAY,BLDG CHECK
B16-34819,Thursday,DAY,ACCIDENT PD IP
B16-34820,Thursday,DAY,WELFARE CHK IP
B16-34817,Thursday,DAY,BURGLARY NP
B16-34815,Thursday,DAY,SERVICE IP
B16-34816,Thursday,DAY,SUSP ACT IP
B16-34813,Thursday,DAY,TRAFFIC STOP
B16-34814,Thursday,DAY,SERVICE IP
B16-34824,Thursday,DAY,INDECENT EXP
B16-34810,Thursday,DAY,ACCIDENT PD IP
B16-34812,Thursday,DAY,THEFT NP
B16-34811,Thursday,DAY,ASSAULT NP
B16-34809,Thursday,DAY,ALARM
B16-34808,Thursday,DAY,THEFT IP
B16-34807,Thursday,DAY,FRAUD
B16-34806,Thursday,DAY,EXTRA PATROL
B16-34804,Thursday,DAY,CIVIL NP
B16-34802,Thursday,DAY,ROV IP
B16-34803,Thursday,DAY,DISTURBANCE IP
B16-34801,Thursday,DAY,SERVICE IP
B16-34805,Thursday,DAY,ABANDONED VEH
B16-34799,Thursday,DAY,SUSP ACT IP
B16-34798,Thursday,DAY,TOW IN
B16-34796,Thursday,DAY,FOLLOW UP
B16-34795,Thursday,DAY,SUSP ACT IP
B16-34794,Thursday,DAY,BURGLARY IP
B16-34797,Thursday,DAY,THEFT NP
B16-34793,Thursday,DAY,ALARM
B16-34800,Thursday,DAY,SERIAL MOTOR CH
B16-34792,Thursday,DAY,PROPERTY
B16-34790,Thursday,DAY,VEH THEFT NP
B16-34789,Thursday,DAY,DISTURBANCE IP
B16-34788,Thursday,DAY,FOLLOW UP
B16-34791,Thursday,MORNING,TRAFFIC HAZARD
B16-34786,Thursday,MORNING,RUNAWAY
B16-34784,Thursday,MORNING,DRUNK
B16-34783,Thursday,MORNING,SERVICE IP
B16-34785,Thursday,MORNING,FRAUD
B16-34782,Thursday,MORNING,WELFARE CHK IP
B16-34781,Thursday,MORNING,THEFT IP
B16-34780,Thursday,MORNING,ASSIGNED DETAIL
B16-34779,Thursday,MORNING,SUSP ACT IP
B16-34787,Thursday,MORNING,WARRANT SERVICE
B16-34776,Thursday,MORNING,TRAFFIC STOP
B16-34778,Thursday,MORNING,VEH THEFT NP
B16-34777,Thursday,MORNING,ACCIDENT PD IP
B16-34775,Thursday,MORNING,ALARM
B16-34774,Thursday,MORNING,DRUNK
B16-34773,Thursday,MORNING,ATL
B16-34772,Thursday,MORNING,ALARM
B16-34771,Thursday,MORNING,TRAFFIC STOP
B16-34770,Thursday,MORNING,WEAPONS IP
B16-34769,Thursday,MORNING,PROPERTY
B16-34768,Thursday,MORNING,FOLLOW UP
B16-34767,Thursday,MORNING,ACCIDENT PD IP
B16-34766,Thursday,MORNING,WELFARE CHK IP
B16-34765,Thursday,MORNING,DISTURBANCE IP
B16-34764,Thursday,MORNING,SERVICE IP
B16-34763,Thursday,MORNING,TRESPASS IP
B16-34762,Thursday,MORNING,ASSIGNED DETAIL
B16-34761,Thursday,NIGHT,ANIMAL
B16-34760,Thursday,NIGHT,BURGLARY IP
B16-34759,Thursday,NIGHT,ASSIGNED DETAIL
B16-34758,Thursday,NIGHT,SUSP ACT IP
B16-34757,Thursday,NIGHT,NOISE
B16-34756,Thursday,NIGHT,ALARM
B16-34755,Thursday,NIGHT,TRAFFIC STOP
B16-34754,Thursday,NIGHT,TRAFFIC STOP
B16-34753,Thursday,NIGHT,THEFT NP
B16-34751,Thursday,NIGHT,TRAFFIC STOP
B16-34752,Thursday,NIGHT,SUSP ACT IP
B16-34749,Thursday,NIGHT,TRAFFIC STOP
B16-34750,Thursday,NIGHT,SUSP ACT IP
B16-34747,Thursday,NIGHT,SUSP ACT IP
B16-34748,Thursday,NIGHT,DOMESTIC IP
B16-34746,Thursday,NIGHT,TRAFFIC STOP
B16-34745,Thursday,NIGHT,EXTRA PATROL
B16-34744,Thursday,NIGHT,TRAFFIC STOP
B16-34742,Thursday,NIGHT,TRAFFIC STOP
B16-34741,Thursday,NIGHT,TRAFFIC STOP
B16-34743,Thursday,NIGHT,NOISE
B16-34740,Thursday,NIGHT,NOISE
B16-34739,Thursday,NIGHT,TRAFFIC STOP
B16-34738,Thursday,NIGHT,TRAFFIC STOP
B16-34737,Thursday,NIGHT,TRAFFIC STOP
B16-34736,Thursday,NIGHT,MOTORIST ASSIST
B16-34735,Thursday,NIGHT,TRAFFIC STOP
B16-34733,Wednesday,NIGHT,SUSP ACT IP
B16-34732,Wednesday,NIGHT,SUSP ACT IP
B16-34730,Wednesday,NIGHT,TRAFFIC STOP
B16-34734,Wednesday,NIGHT,ANIMAL
B16-34729,Wednesday,NIGHT,SUSP ACT IP
B16-34728,Wednesday,NIGHT,FOPEN BURNING
B16-34727,Wednesday,NIGHT,TRAFFIC STOP
B16-34726,Wednesday,NIGHT,ANIMAL
B16-34725,Wednesday,NIGHT,DISTURBANCE IP
B16-34724,Wednesday,NIGHT,SUSP ACT IP
B16-34723,Wednesday,NIGHT,BLDG CHECK
