Case Number,Date Reported,Time Reported,Month Reported,Day of Week Reported,Nature of Call for Service,District,Agency,Report/No Report
B16-09650,3/13/16,12:08 PM,March,Sunday,SERVICE IP,LB517,BPD,No report
B16-09653,3/13/16,12:07 PM,March,Sunday,WEAPONS NP,LB517,BPD,No report
B16-09649,3/13/16,11:59 AM,March,Sunday,ALARM,LB319,BPD,No report
B16-09648,3/13/16,11:59 AM,March,Sunday,EXTRA PATROL,LB102,BPD,No report
B16-09647,3/13/16,11:40 AM,March,Sunday,ALARM,LB103,BPD,No report
B16-09645,3/13/16,11:25 AM,March,Sunday,EXTRA PATROL,LB420,BPD,No report
B16-09646,3/13/16,11:16 AM,March,Sunday,ANIMAL,LB102,BPD,No report
B16-09644,3/13/16,10:47 AM,March,Sunday,VANDALISM IP,LB521,BPD,No report
B16-09643,3/13/16,10:41 AM,March,Sunday,ACCIDENT PD IP,LB318,BPD,Report
B16-09642,3/13/16,10:26 AM,March,Sunday,EXTRA PATROL,LB101,BPD,No report
B16-09641,3/13/16,10:19 AM,March,Sunday,NOISE,LB520,BPD,No report
B16-09640,3/13/16,10:07 AM,March,Sunday,THEFT NP,LB310,BPD,Report
B16-09639,3/13/16,9:22 AM,March,Sunday,THEFT NP,LB409,BPD,Report
B16-09638,3/13/16,9:19 AM,March,Sunday,EXTRA PATROL,LB101,BPD,No report
B16-09637,3/13/16,9:10 AM,March,Sunday,THEFT NP,LB303,BPD,Report
B16-09636,3/13/16,8:53 AM,March,Sunday,DISTURBANCE IP,LB102,BPD,No report
B16-09635,3/13/16,8:30 AM,March,Sunday,ALARM,LB519,BPD,No report
B16-09634,3/13/16,8:24 AM,March,Sunday,ACCIDENT PD IP,LB410,BPD,Report
B16-09633,3/13/16,7:52 AM,March,Sunday,TRAFFIC STOP,LB5,BPD,No report
B16-09632,3/13/16,7:20 AM,March,Sunday,HARASSMENT NP,LB305,BPD,No report
B16-09631,3/13/16,7:10 AM,March,Sunday,EXTRA PATROL,LB102,BPD,No report
B16-09630,3/13/16,6:55 AM,March,Sunday,TRAFFIC STOP,LB2,BPD,No report
B16-09629,3/13/16,6:55 AM,March,Sunday,TRAFFIC STOP,LB2,BPD,No report
B16-09628,3/13/16,6:55 AM,March,Sunday,TRAFFIC STOP,LB2,BPD,No report
B16-09627,3/13/16,6:55 AM,March,Sunday,TRAFFIC STOP,LB2,BPD,No report
B16-09626,3/13/16,6:55 AM,March,Sunday,TRAFFIC STOP,LB2,BPD,No report
B16-09625,3/13/16,6:49 AM,March,Sunday,ALARM,LB305,BPD,No report
B16-09624,3/13/16,6:47 AM,March,Sunday,FOLLOW UP,LB104,BPD,No report
B16-09623,3/13/16,6:03 AM,March,Sunday,SERVICE IP,LB410,BPD,No report
B16-09622,3/13/16,3:04 AM,March,Sunday,FOLLOW UP,LB305,BPD,No report
B16-09621,3/13/16,1:53 AM,March,Sunday,WELFARE CHK IP,LB406,BPD,No report
B16-09620,3/13/16,1:11 AM,March,Sunday,DOMESTIC IP,LB510,BPD,Report
B16-09619,3/13/16,12:38 AM,March,Sunday,WEAPONS IP,LB212,BPD,No report
B16-09618,3/13/16,12:34 AM,March,Sunday,FIGHT IP,LB212,BPD,Report
B16-09616,3/12/16,11:46 PM,March,Saturday,TRAFFIC STOP,LIU09,BPD,No report
B16-09617,3/12/16,11:46 PM,March,Saturday,BURGLARY IP,LB220,BPD,Report
B16-09615,3/12/16,11:44 PM,March,Saturday,ACCIDENT PD IP,LB506,BPD,Report
B16-09614,3/12/16,11:37 PM,March,Saturday,ATL,LB104,BPD,No report
B16-09613,3/12/16,11:36 PM,March,Saturday,TRAFFIC STOP,LB416,BPD,No report
B16-09612,3/12/16,11:35 PM,March,Saturday,TRAFFIC STOP,LB305,BPD,No report
B16-09611,3/12/16,11:32 PM,March,Saturday,SUSP ACT IP,LMN21,BPD,No report
B16-09610,3/12/16,11:28 PM,March,Saturday,TRAFFIC STOP,LB303,BPD,No report
B16-09609,3/12/16,11:17 PM,March,Saturday,ATL,LIU05,BPD,No report
B16-09608,3/12/16,11:04 PM,March,Saturday,TRAFFIC STOP,LB315,BPD,No report
B16-09607,3/12/16,10:48 PM,March,Saturday,MOTORIST ASSIST,LB429,BPD,No report
B16-09605,3/12/16,10:36 PM,March,Saturday,TRAFFIC STOP,LMS29,BPD,No report
B16-09604,3/12/16,10:21 PM,March,Saturday,SERVICE IP,LB304,BPD,No report
B16-09603,3/12/16,10:18 PM,March,Saturday,TRAFFIC STOP,LB210,BPD,No report
B16-09606,3/12/16,10:18 PM,March,Saturday,FOLLOW UP,LB212,BPD,No report
B16-09602,3/12/16,10:02 PM,March,Saturday,FOLLOW UP,LB212,BPD,No report
B16-09601,3/12/16,9:58 PM,March,Saturday,DOMESTIC IP,LB417,BPD,No report
B16-09600,3/12/16,9:55 PM,March,Saturday,DISTURBANCE IP,LB403,BPD,Report
B16-09599,3/12/16,9:52 PM,March,Saturday,DOMESTIC IP,LB331,BPD,No report
B16-09598,3/12/16,9:51 PM,March,Saturday,MOTORIST ASSIST,LB330,BPD,No report
B16-09595,3/12/16,9:29 PM,March,Saturday,EXTRA PATROL,LB405,BPD,No report
B16-09597,3/12/16,9:29 PM,March,Saturday,THEFT NP,LB104,BPD,No report
B16-09596,3/12/16,9:21 PM,March,Saturday,HARASSMENT NP,LB213,BPD,No report
B16-09594,3/12/16,9:02 PM,March,Saturday,SUSP ACT IP,LB221,BPD,Report
B16-09592,3/12/16,8:56 PM,March,Saturday,WEAPONS IP,LB405,BPD,No report
B16-09593,3/12/16,8:56 PM,March,Saturday,WELFARE CHK IP,LB220,BPD,Report
B16-09590,3/12/16,8:42 PM,March,Saturday,DOMESTIC IP,LB416,BPD,Report
B16-09589,3/12/16,8:39 PM,March,Saturday,DRUGS IP,LB305,BPD,No report
B16-09588,3/12/16,8:37 PM,March,Saturday,THEFT IP,LB310,BPD,Report
B16-09591,3/12/16,8:35 PM,March,Saturday,THEFT NP,LB310,BPD,Report
B16-09587,3/12/16,8:28 PM,March,Saturday,WELFARE CHK IP,LB422,BPD,No report
B16-09586,3/12/16,8:15 PM,March,Saturday,FOLLOW UP,LB104,BPD,No report
B16-09585,3/12/16,8:10 PM,March,Saturday,THEFT NP,LB422,BPD,No report
B16-09583,3/12/16,7:40 PM,March,Saturday,WELFARE CHK IP,LB336,BPD,No report
B16-09584,3/12/16,7:34 PM,March,Saturday,FOLLOW UP,LB104,BPD,No report
B16-09582,3/12/16,7:33 PM,March,Saturday,FOLLOW UP,LB102,BPD,No report
B16-09581,3/12/16,7:32 PM,March,Saturday,MOTORIST ASSIST,LMS27,BPD,No report
B16-09580,3/12/16,7:13 PM,March,Saturday,SUSP ACT IP,LB422,BPD,No report
B16-09579,3/12/16,7:11 PM,March,Saturday,DRUNK,LB101,BPD,No report
B16-09578,3/12/16,7:09 PM,March,Saturday,THEFT NP,LB427,BPD,Report
B16-09577,3/12/16,7:02 PM,March,Saturday,DOMESTIC IP,LB518,BPD,Report
B16-09576,3/12/16,6:52 PM,March,Saturday,ABANDONED VEH,LB417,BPD,No report
B16-09574,3/12/16,6:34 PM,March,Saturday,THEFT NP,LB403,BPD,Report
B16-09575,3/12/16,6:34 PM,March,Saturday,ANIMAL,LB102,BPD,No report
B16-09573,3/12/16,6:33 PM,March,Saturday,TRAFFIC STOP,LB103,BPD,No report
B16-09571,3/12/16,6:21 PM,March,Saturday,THEFT NP,LB402,BPD,Report
B16-09570,3/12/16,6:17 PM,March,Saturday,THEFT IP,LB403,BPD,No report
B16-09569,3/12/16,6:15 PM,March,Saturday,ATL,LB327,BPD,No report
B16-09568,3/12/16,5:58 PM,March,Saturday,FIGHT IP,LB102,BPD,No report
B16-09572,3/12/16,5:54 PM,March,Saturday,NOISE,LB102,BPD,No report
B16-09567,3/12/16,5:28 PM,March,Saturday,VEH THEFT NP,LB326,BPD,Report
B16-09566,3/12/16,5:26 PM,March,Saturday,DRUGS NP,LB422,BPD,No report
B16-09565,3/12/16,5:22 PM,March,Saturday,DOMESTIC IP,LB329,BPD,No report
B16-09563,3/12/16,4:58 PM,March,Saturday,TRAFFIC STOP,LB328,BPD,No report
B16-09562,3/12/16,4:50 PM,March,Saturday,DISTURBANCE IP,LB102,BPD,Report
B16-09564,3/12/16,4:49 PM,March,Saturday,VANDALISM NP,LB301,BPD,Report
B16-09561,3/12/16,4:38 PM,March,Saturday,HARASSMENT NP,LB305,BPD,No report
B16-09560,3/12/16,4:32 PM,March,Saturday,DOMESTIC IP,LB221,BPD,No report
B16-09559,3/12/16,4:24 PM,March,Saturday,TRAFFIC STOP,LB516,BPD,No report
B16-09558,3/12/16,3:52 PM,March,Saturday,DOMESTIC IP,LB517,BPD,No report
B16-09557,3/12/16,3:45 PM,March,Saturday,WARRANT SERVICE,LB336,BPD,Report
B16-09556,3/12/16,3:39 PM,March,Saturday,ALARM,LB424,BPD,No report
B16-09555,3/12/16,3:30 PM,March,Saturday,FOLLOW UP,LB301,BPD,Report
B16-09553,3/12/16,3:16 PM,March,Saturday,TRAFFIC STOP,LB409,BPD,No report
B16-09552,3/12/16,3:14 PM,March,Saturday,WARRANT SERVICE,LB409,BPD,No report
B16-09551,3/12/16,3:12 PM,March,Saturday,MOTORIST ASSIST,LIU10,BPD,No report
B16-09554,3/12/16,3:11 PM,March,Saturday,THEFT NP,LB513,BPD,Report
B16-09550,3/12/16,2:40 PM,March,Saturday,DRUGS IP,LB422,BPD,No report
B16-09549,3/12/16,2:36 PM,March,Saturday,ATL,LB409,BPD,No report
B16-09548,3/12/16,2:35 PM,March,Saturday,TRESPASS IP,LB103,BPD,No report
B16-09547,3/12/16,2:25 PM,March,Saturday,TRAFFIC STOP,LB519,BPD,No report
B16-09546,3/12/16,2:06 PM,March,Saturday,SERIAL MOTOR CH,LB219,BPD,No report
B16-09545,3/12/16,1:58 PM,March,Saturday,EXTRA PATROL,LB102,BPD,No report
B16-09544,3/12/16,1:48 PM,March,Saturday,DISTURBANCE IP,LB103,BPD,No report
B16-09543,3/12/16,1:41 PM,March,Saturday,BURGLARY NP,LB433,BPD,Report
B16-09542,3/12/16,1:40 PM,March,Saturday,SUSP ACT IP,LB313,BPD,No report
B16-09541,3/12/16,1:29 PM,March,Saturday,DRUGS IP,LB523,BPD,Report
B16-09540,3/12/16,1:21 PM,March,Saturday,COURT,LB523,BPD,No report
B16-09538,3/12/16,1:01 PM,March,Saturday,PROPERTY,LB219,BPD,No report
B16-09539,3/12/16,12:51 PM,March,Saturday,FOLLOW UP,LB104,BPD,No report
B16-09537,3/12/16,12:48 PM,March,Saturday,SUSP ACT IP,LB524,BPD,No report
B16-09536,3/12/16,12:37 PM,March,Saturday,THEFT NP,LB104,BPD,Report
B16-09535,3/12/16,12:07 PM,March,Saturday,DOMESTIC IP,LB334,BPD,No report
B16-09534,3/12/16,11:42 AM,March,Saturday,THEFT NP,LB102,BPD,No report
B16-09533,3/12/16,11:31 AM,March,Saturday,TRESPASS IP,LB104,BPD,No report
B16-09532,3/12/16,11:31 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09531,3/12/16,11:17 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09530,3/12/16,11:08 AM,March,Saturday,EXTRA PATROL,LB302,BPD,No report
B16-09528,3/12/16,11:07 AM,March,Saturday,EXTRA PATROL,LB302,BPD,No report
B16-09527,3/12/16,11:07 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09529,3/12/16,11:04 AM,March,Saturday,VANDALISM NP,LB301,BPD,Report
B16-09526,3/12/16,11:01 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09525,3/12/16,10:53 AM,March,Saturday,EXTRA PATROL,LB102,BPD,No report
B16-09524,3/12/16,10:49 AM,March,Saturday,VANDALISM NP,LB302,BPD,No report
B16-09523,3/12/16,10:33 AM,March,Saturday,VANDALISM NP,LB301,BPD,Report
B16-09522,3/12/16,10:26 AM,March,Saturday,VANDALISM NP,LB302,BPD,Report
B16-09521,3/12/16,10:18 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09520,3/12/16,10:10 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09519,3/12/16,10:05 AM,March,Saturday,FOLLOW UP,LB403,BPD,Report
B16-09518,3/12/16,10:02 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09517,3/12/16,9:58 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09515,3/12/16,9:54 AM,March,Saturday,TRAFFIC STOP,LB328,BPD,No report
B16-09514,3/12/16,9:45 AM,March,Saturday,CIVIL NP,LB104,BPD,No report
B16-09516,3/12/16,9:36 AM,March,Saturday,ATL,LMN26,BPD,No report
B16-09513,3/12/16,9:21 AM,March,Saturday,MOTORIST ASSIST,LB412,BPD,No report
B16-09512,3/12/16,9:18 AM,March,Saturday,ALARM,LB318,BPD,No report
B16-09511,3/12/16,9:08 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09510,3/12/16,8:58 AM,March,Saturday,HARASSMENT NP,LB513,BPD,Report
B16-09509,3/12/16,8:56 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09508,3/12/16,8:19 AM,March,Saturday,PROPERTY,LB432,BPD,No report
B16-09507,3/12/16,8:10 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09506,3/12/16,8:06 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09504,3/12/16,7:57 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09503,3/12/16,7:55 AM,March,Saturday,TRAFFIC STOP,LB512,BPD,No report
B16-09505,3/12/16,7:54 AM,March,Saturday,NOISE,LB101,BPD,No report
B16-09502,3/12/16,7:51 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09501,3/12/16,7:44 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09500,3/12/16,7:34 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09499,3/12/16,7:29 AM,March,Saturday,TRAFFIC STOP,LB524,BPD,No report
B16-09498,3/12/16,7:27 AM,March,Saturday,TRAFFIC STOP,LB309,BPD,No report
B16-09497,3/12/16,7:24 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09496,3/12/16,7:18 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09495,3/12/16,7:12 AM,March,Saturday,TRAFFIC STOP,LB523,BPD,No report
B16-09494,3/12/16,7:03 AM,March,Saturday,DRUNK,LB101,BPD,No report
B16-09493,3/12/16,6:07 AM,March,Saturday,ASSIGNED DETAIL,LB410,BPD,No report
B16-09492,3/12/16,5:36 AM,March,Saturday,WELFARE CHK IP,LB302,BPD,No report
B16-09491,3/12/16,4:22 AM,March,Saturday,VANDALISM NP,LB423,BPD,Report
B16-09490,3/12/16,3:42 AM,March,Saturday,TRAFFIC HAZARD,LB518,BPD,No report
B16-09489,3/12/16,3:42 AM,March,Saturday,SERVICE IP,LB104,BPD,Report
B16-09488,3/12/16,3:23 AM,March,Saturday,HARASSMENT IP,LB513,BPD,No report
B16-09487,3/12/16,3:21 AM,March,Saturday,DOMESTIC IP,LB514,BPD,No report
B16-09486,3/12/16,3:16 AM,March,Saturday,DISTURBANCE IP,LB415,BPD,Report
B16-09485,3/12/16,2:49 AM,March,Saturday,TRAFFIC STOP,LIU14,BPD,No report
B16-09483,3/12/16,2:27 AM,March,Saturday,DISTURBANCE IP,LB101,BPD,No report
B16-09484,3/12/16,2:22 AM,March,Saturday,NOISE,LB213,BPD,No report
B16-09482,3/12/16,2:07 AM,March,Saturday,SUSP ACT IP,LB405,BPD,No report
B16-09481,3/12/16,2:01 AM,March,Saturday,DRUNK,LB101,BPD,Report
B16-09480,3/12/16,2:00 AM,March,Saturday,SUSP ACT IP,LB402,BPD,No report
B16-09479,3/12/16,1:39 AM,March,Saturday,TRAFFIC STOP,LB433,BPD,No report
B16-09478,3/12/16,1:28 AM,March,Saturday,TRAFFIC STOP,LB421,BPD,No report
B16-09477,3/12/16,1:24 AM,March,Saturday,TRAFFIC STOP,LB410,BPD,No report
B16-09476,3/12/16,1:17 AM,March,Saturday,SERVICE IP,LB328,BPD,No report
B16-09475,3/12/16,1:07 AM,March,Saturday,ALARM,LB221,BPD,No report
B16-09474,3/12/16,12:57 AM,March,Saturday,SERVICE IP,LB421,BPD,No report
B16-09472,3/12/16,12:49 AM,March,Saturday,TRAFFIC STOP,LB314,BPD,No report
B16-09471,3/12/16,12:49 AM,March,Saturday,SUSP ACT IP,LMN21,BPD,No report
B16-09473,3/12/16,12:41 AM,March,Saturday,NOISE,LB104,BPD,No report
B16-09470,3/12/16,12:37 AM,March,Saturday,SUSP ACT IP,LB506,BPD,No report
B16-09469,3/12/16,12:33 AM,March,Saturday,MOTORIST ASSIST,LB427,BPD,No report
B16-09467,3/12/16,12:23 AM,March,Saturday,TRAFFIC STOP,LB522,BPD,No report
B16-09468,3/12/16,12:22 AM,March,Saturday,FOLLOW UP,LB104,BPD,No report
B16-09466,3/12/16,12:09 AM,March,Saturday,TRAFFIC STOP,LB314,BPD,No report
B16-09465,3/12/16,12:03 AM,March,Saturday,PROPERTY,LB410,BPD,Report
B16-09464,3/12/16,12:02 AM,March,Saturday,TRAFFIC STOP,LB403,BPD,No report
B16-09463,3/12/16,12:02 AM,March,Saturday,TRAFFIC STOP,LB103,BPD,No report
B16-09462,3/11/16,11:49 PM,March,Friday,TRAFFIC STOP,LB424,BPD,No report
B16-09461,3/11/16,11:37 PM,March,Friday,TRAFFIC STOP,LB104,BPD,No report
B16-09459,3/11/16,11:31 PM,March,Friday,TRAFFIC STOP,LB519,BPD,No report
B16-09460,3/11/16,11:30 PM,March,Friday,HARASSMENT NP,LB103,BPD,No report
B16-09458,3/11/16,11:23 PM,March,Friday,TRAFFIC STOP,LB519,BPD,No report
B16-09457,3/11/16,11:18 PM,March,Friday,TRAFFIC STOP,LB429,BPD,No report
B16-09456,3/11/16,11:07 PM,March,Friday,TRAFFIC STOP,LB406,BPD,No report
B16-09455,3/11/16,10:53 PM,March,Friday,TRAFFIC STOP,LB222,BPD,No report
B16-09454,3/11/16,10:51 PM,March,Friday,TRAFFIC STOP,LB421,BPD,No report
B16-09453,3/11/16,10:29 PM,March,Friday,TRAFFIC STOP,LB427,BPD,No report
B16-09451,3/11/16,10:16 PM,March,Friday,ASSIGNED DETAIL,LB410,BPD,No report
B16-09450,3/11/16,10:02 PM,March,Friday,SERVICE IP,LB212,BPD,Report
B16-09452,3/11/16,9:54 PM,March,Friday,NOISE,LB302,BPD,No report
B16-09449,3/11/16,9:54 PM,March,Friday,ATL,LMN02,BPD,No report
B16-09447,3/11/16,9:33 PM,March,Friday,ALARM,LB513,BPD,No report
B16-09448,3/11/16,9:24 PM,March,Friday,SUSP ACT IP,LB406,BPD,No report
B16-09446,3/11/16,9:19 PM,March,Friday,WELFARE CHK IP,LB524,BPD,No report
B16-09445,3/11/16,9:13 PM,March,Friday,DISTURBANCE IP,LB523,BPD,No report
B16-09444,3/11/16,9:13 PM,March,Friday,ACCIDENT PD IP,LB524,BPD,No report
B16-09443,3/11/16,9:09 PM,March,Friday,DISTURBANCE IP,LB102,BPD,Report
B16-09442,3/11/16,8:46 PM,March,Friday,TRAFFIC STOP,LB406,BPD,No report
B16-09441,3/11/16,8:34 PM,March,Friday,FOLLOW UP,LB104,BPD,No report
B16-09440,3/11/16,8:26 PM,March,Friday,TRAFFIC STOP,LB409,BPD,No report
B16-09439,3/11/16,8:15 PM,March,Friday,VANDALISM IP,LB420,BPD,No report
B16-09438,3/11/16,8:09 PM,March,Friday,TRAFFIC STOP,LB311,BPD,No report
B16-09437,3/11/16,8:04 PM,March,Friday,ACCIDENT PD NP,LB222,BPD,No report
B16-09402,3/11/16,8:03 PM,March,Friday,ACCIDENT LSA NP,LB409,BPD,Report
B16-09436,3/11/16,8:03 PM,March,Friday,ACCIDENT LSA NP,LB409,BPD,No report
B16-09434,3/11/16,7:20 PM,March,Friday,ASSAULT IP,LB517,BPD,Report
B16-09435,3/11/16,7:20 PM,March,Friday,NOISE,LB302,BPD,No report
B16-09433,3/11/16,7:19 PM,March,Friday,WELFARE CHK IP,LB409,BPD,No report
B16-09432,3/11/16,6:59 PM,March,Friday,TRAFFIC STOP,LB409,BPD,No report
B16-09431,3/11/16,6:50 PM,March,Friday,JUVENILE,LB209,BPD,No report
B16-09430,3/11/16,6:28 PM,March,Friday,DOMESTIC IP,LB216,BPD,No report
B16-09429,3/11/16,6:13 PM,March,Friday,NOISE,LB302,BPD,No report
B16-09428,3/11/16,5:42 PM,March,Friday,DISTURBANCE IP,LB314,BPD,No report
B16-09427,3/11/16,5:40 PM,March,Friday,ACCIDENT PI,LB506,BPD,Report
B16-09426,3/11/16,5:25 PM,March,Friday,SUSP ACT NP,LB103,BPD,No report
B16-09423,3/11/16,5:23 PM,March,Friday,FOLLOW UP,LB214,BPD,No report
B16-09424,3/11/16,5:23 PM,March,Friday,ATL,LB513,BPD,No report
B16-09421,3/11/16,5:06 PM,March,Friday,TRAFFIC STOP,LB519,BPD,No report
B16-09422,3/11/16,5:06 PM,March,Friday,MOTORIST ASSIST,LB516,BPD,No report
B16-09419,3/11/16,4:57 PM,March,Friday,TRAFFIC STOP,LB520,BPD,No report
B16-09420,3/11/16,4:54 PM,March,Friday,ACCIDENT PD IP,LB314,BPD,No report
B16-09418,3/11/16,4:48 PM,March,Friday,CIVIL NP,LB513,BPD,No report
B16-09425,3/11/16,4:42 PM,March,Friday,FOLLOW UP,LB409,BPD,No report
B16-09416,3/11/16,4:41 PM,March,Friday,DOMESTIC NP,LB423,BPD,Report
B16-09417,3/11/16,4:41 PM,March,Friday,VANDALISM NP,LB406,BPD,Report
B16-09414,3/11/16,4:39 PM,March,Friday,TRAFFIC STOP,LB326,BPD,No report
B16-09415,3/11/16,4:23 PM,March,Friday,NOISE,LB513,BPD,No report
B16-09411,3/11/16,4:22 PM,March,Friday,DOMESTIC IP,LB305,BPD,Report
B16-09412,3/11/16,4:16 PM,March,Friday,HARASSMENT NP,LB304,BPD,No report
B16-09413,3/11/16,4:13 PM,March,Friday,FOLLOW UP,LB104,BPD,No report
B16-09410,3/11/16,4:13 PM,March,Friday,TRAFFIC STOP,LB314,BPD,No report
B16-09409,3/11/16,4:10 PM,March,Friday,ACCIDENT LSA NP,LB104,BPD,Report
B16-09408,3/11/16,4:03 PM,March,Friday,PANHANDLING,LB102,BPD,No report
B16-09407,3/11/16,4:03 PM,March,Friday,VANDALISM IP,LB518,BPD,Report
B16-09405,3/11/16,3:54 PM,March,Friday,FOLLOW UP,LB336,BPD,No report
B16-09406,3/11/16,3:53 PM,March,Friday,ALARM,LB428,BPD,No report
B16-09404,3/11/16,3:43 PM,March,Friday,SERVICE IP,LB104,BPD,No report
B16-09401,3/11/16,3:37 PM,March,Friday,FOLLOW UP,LB406,BPD,No report
B16-09403,3/11/16,3:34 PM,March,Friday,FORGERY,LB518,BPD,Report
B16-09400,3/11/16,3:33 PM,March,Friday,WELFARE CHK IP,LB423,BPD,Report
B16-09399,3/11/16,3:26 PM,March,Friday,TRAFFIC STOP,LB519,BPD,No report
B16-09398,3/11/16,3:17 PM,March,Friday,SUSP ACT IP,LB302,BPD,No report
B16-09397,3/11/16,3:08 PM,March,Friday,TRAFFIC STOP,LB409,BPD,No report
B16-09396,3/11/16,3:07 PM,March,Friday,FOLLOW UP,LB104,BPD,No report
B16-09395,3/11/16,3:04 PM,March,Friday,ANIMAL,LB317,BPD,No report
B16-09394,3/11/16,3:01 PM,March,Friday,ACCIDENT PD IP,LB221,BPD,No report
B16-09392,3/11/16,2:59 PM,March,Friday,FOLLOW UP,LB104,BPD,No report
B16-09393,3/11/16,2:54 PM,March,Friday,THEFT NP,LB213,BPD,Report
B16-09391,3/11/16,2:31 PM,March,Friday,ALARM,LB103,BPD,No report
B16-09390,3/11/16,2:25 PM,March,Friday,FOLLOW UP,LB410,BPD,No report
B16-09389,3/11/16,2:22 PM,March,Friday,DOMESTIC IP,LB423,BPD,No report
B16-09388,3/11/16,2:07 PM,March,Friday,HARASSMENT NP,LB517,BPD,No report
B16-09386,3/11/16,2:01 PM,March,Friday,SERVICE IP,LB301,BPD,No report
B16-09381,3/11/16,1:47 PM,March,Friday,SUSP ACT IP,LB323,BPD,No report
B16-09382,3/11/16,1:38 PM,March,Friday,HARASSMENT NP,LB409,BPD,No report
B16-09384,3/11/16,1:37 PM,March,Friday,SERIAL MOTOR CH,LB104,BPD,No report
B16-09387,3/11/16,1:30 PM,March,Friday,ROV NP,LB413,BPD,Report
B16-09380,3/11/16,1:25 PM,March,Friday,ASSIGNED DETAIL,LB303,BPD,No report
B16-09379,3/11/16,1:11 PM,March,Friday,DRUGS IP,LB410,BPD,No report
B16-09377,3/11/16,1:04 PM,March,Friday,TRAFFIC STOP,LMN20,BPD,No report
B16-09376,3/11/16,12:57 PM,March,Friday,SERIAL MOTOR CH,LB408,BPD,No report
B16-09374,3/11/16,12:54 PM,March,Friday,ACCIDENT PD IP,LB102,BPD,Report
B16-09383,3/11/16,12:51 PM,March,Friday,RUNAWAY,LB406,BPD,Report
B16-09372,3/11/16,12:49 PM,March,Friday,TRAFFIC STOP,LMN20,BPD,No report
B16-09375,3/11/16,12:43 PM,March,Friday,THEFT NP,LB410,BPD,No report
B16-09371,3/11/16,12:40 PM,March,Friday,DISTURBANCE IP,LB423,BPD,No report
B16-09369,3/11/16,12:39 PM,March,Friday,TRAFFIC STOP,LMN20,BPD,No report
B16-09373,3/11/16,12:37 PM,March,Friday,WELFARE CHK IP,LB214,BPD,No report
B16-09370,3/11/16,12:35 PM,March,Friday,ACCIDENT PD IP,LB101,BPD,Report
B16-09368,3/11/16,12:30 PM,March,Friday,SERVICE IP,LB308,BPD,No report
B16-09367,3/11/16,12:29 PM,March,Friday,TRAFFIC STOP,LMN20,BPD,No report
B16-09385,3/11/16,12:22 PM,March,Friday,HARASSMENT NP,LB404,BPD,Report
B16-09366,3/11/16,12:21 PM,March,Friday,ALCOHOL RELATED,LMNC,BPD,No report
B16-09378,3/11/16,12:12 PM,March,Friday,ABANDONED VEH,LB512,BPD,No report
B16-09365,3/11/16,12:09 PM,March,Friday,THEFT NP,LB524,BPD,Report
B16-09363,3/11/16,12:08 PM,March,Friday,TRAFFIC STOP,LB424,BPD,No report
B16-09364,3/11/16,12:07 PM,March,Friday,THEFT NP,LB424,BPD,Report
B16-09361,3/11/16,11:59 AM,March,Friday,ATL,LB512,BPD,No report
B16-09360,3/11/16,11:54 AM,March,Friday,TRAFFIC STOP,LB432,BPD,No report
B16-09362,3/11/16,11:49 AM,March,Friday,THEFT NP,LB406,BPD,No report
B16-09359,3/11/16,11:28 AM,March,Friday,ACCIDENT LSA NP,LB520,BPD,Report
B16-09358,3/11/16,11:26 AM,March,Friday,HARASSMENT IP,LB524,BPD,No report
B16-09357,3/11/16,11:15 AM,March,Friday,EXTRA PATROL,LB103,BPD,No report
B16-09356,3/11/16,11:04 AM,March,Friday,ABANDONED VEH,LB315,BPD,No report
B16-09355,3/11/16,10:58 AM,March,Friday,SUSP ACT IP,LB104,BPD,No report
B16-09354,3/11/16,10:35 AM,March,Friday,NOISE,LB513,BPD,No report
B16-09353,3/11/16,10:10 AM,March,Friday,HARASSMENT NP,LB520,BPD,No report
B16-09352,3/11/16,9:53 AM,March,Friday,ASSIGNED DETAIL,LB410,BPD,No report
B16-09351,3/11/16,9:36 AM,March,Friday,VEH THEFT NP,LB336,BPD,No report
B16-09350,3/11/16,9:35 AM,March,Friday,SERVICE IP,LB410,BPD,No report
